Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Receipts by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q4),,,,,,,,,
Beneficiary Country of Birth,First Preference (EB1),,,Second Preference (EB2),,Third Preference (EB3),,,
,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3),Total
Total,"4,595","1,476","4,145","13,878","12,349","6,501","4,985","3,359","51,288"
INDIA,784,466,"1,523","9,831",839,842,"2,195",2,"16,482"
CHINA,"1,660",582,208,"2,229","1,779",150,872,38,"7,518"
PHILIPPINES,12,3,43,55,33,"2,519",372,328,"3,365"
BRAZIL,285,27,313,78,"1,849",119,81,327,"3,079"
NIGERIA,99,10,10,66,852,244,40,59,"1,380"
MEXICO,34,6,210,138,208,66,166,446,"1,274"
IRAN,88,17,19,57,"1,004",47,15,18,"1,265"
"KOREA, SOUTH",55,26,105,126,506,169,139,124,"1,250"
PAKISTAN,33,8,29,72,759,64,48,76,"1,089"
COLOMBIA,76,9,47,31,677,24,42,140,"1,046"
VIETNAM,2,3,9,36,95,26,46,648,865
BANGLADESH,23,4,5,54,466,8,18,155,733
NEPAL,23,3,3,44,127,302,77,149,728
KENYA,21,1,2,8,30,601,8,25,696
VENEZUELA,88,3,30,28,375,37,62,64,687
CANADA,76,28,177,101,90,78,93,2,645
RUSSIA,228,8,45,32,173,12,17,7,522
UNITED KINGDOM,69,22,225,57,65,33,37,1,509
GHANA,7, - ,2,12,105,334,8,37,505
TAIWAN,28,11,21,140,158,37,68,8,471
TURKEY,24,17,28,31,157,20,35,41,353
FRANCE,48,17,110,47,47,11,33, - ,313
ARGENTINA,49,5,87,15,80,21,13,13,283
GERMANY,33,26,62,33,50,14,11,5,234
JAMAICA,4, - ,2,6,14,126,31,28,211
EGYPT,15,7,18,21,111,13,16,5,206
PERU,12,3,22,17,112,4,11,18,199
ITALY,28,19,42,23,51,17,5,4,189
JAPAN,18,11,36,20,49,18,31,1,184
KAZAKHSTAN,90, - ,7,4,64,2,11,1,179
UKRAINE,53,4,17,19,51,8,19,5,176
SOUTH AFRICA,16,2,67,7,28,17,10,27,174
ISRAEL,22,11,47,22,41,11,8,3,165
ECUADOR,8,2,9,1,117,2,5,18,162
SPAIN,21,11,47,23,34,7,15,1,159
THAILAND,7,5,1,12,21,48,10,41,145
CHILE,15,2,15,10,79,5,17,1,144
LEBANON,4,4,17,16,40,26,10,6,123
ZIMBABWE,4,2,9,3,17,52,8,28,123
UZBEKISTAN,51, - ,2,1,45,7,2,14,122
AUSTRALIA,20,4,36,16,14,15,16, - ,121
SAUDI ARABIA,7,5,4,29,37,14,16,3,115
CAMBODIA,1,1, - , - ,3, - ,1,108,114
POLAND,10,4,29,11,19,16,2,16,107
JORDAN,1,1,2,13,39,39,4,5,104
MONGOLIA,3, - ,3,6,24,4,10,52,102
HONG KONG,5, - ,13,17,19,10,22,3,89
SRI LANKA,3,1,11,12,43,4,10,5,89
ETHIOPIA,5,1, - ,15,37,5,16,1,80
NETHERLANDS,9,3,36,5,11,6,4, - ,74
IRELAND,8,4,29,8,8,6,8,1,72
DOMINICAN REPUBLIC,4, - ,8, - ,36,6,2,15,71
MALAYSIA,1,3,13,14,14,3,19, - ,67
GUATEMALA,4, - ,13,1,12,1,2,32,65
GREECE,5,8,6,13,25,1,4,1,63
EL SALVADOR,4, - ,5,4,12,4,2,31,62
BELARUS,23, - ,8,3,15,4,6,1,60
COSTA RICA,3,2,27,8,9,1,8,1,59
ROMANIA,4,3,15,9,8,8,7,3,57
UNKNOWN,9, - ,4,4,30,5,1,3,56
GEORGIA,28,2, - ,3,14,2,1,4,54
SOVIET UNION,28, - ,4,2,20, - , - , - ,54
HONDURAS,3, - ,4,5,22,3,1,14,52
TRINIDAD AND TOBAGO,6, - ,8,8,8,19,2,1,52
KYRGYZSTAN,23, - , - ,2,23, - , - , - ,48
SINGAPORE,2,3,14,10,6,4,4, - ,43
